"","Participant","Age","Gender","Ethnicity","Familiar Yes/No","RFamiliar explain","Trait","Identity","ImageID","Rating","Identity Mean","Variance"
"268",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME008",6,5.9,0.0999999999999996
"269",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME009",6,5.9,0.0999999999999996
"270",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME010",7,5.9,1.1
"271",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME011",6,5.9,0.0999999999999996
"272",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME012",5,5.9,0.9
"273",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME013",5,5.9,0.9
"274",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME014",4,5.9,1.9
"275",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME015",5,5.9,0.9
"276",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME016",5,5.9,0.9
"277",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME017",7,5.9,1.1
"278",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME018",6,5.9,0.0999999999999996
"279",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME019",6,5.9,0.0999999999999996
"280",1,23,"Female","Australian","No","NA","Trustworthiness","ME","ME020",6,5.9,0.0999999999999996
"281",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF001",6,5.55,0.45
"282",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF002",6,5.55,0.45
"283",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF003",7,5.55,1.45
"284",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF004",4,5.55,1.55
"285",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF005",6,5.55,0.45
"286",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF006",6,5.55,0.45
"287",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF007",3,5.55,2.55
"288",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF008",6,5.55,0.45
"289",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF009",3,5.55,2.55
"290",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF010",6,5.55,0.45
"291",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF011",6,5.55,0.45
"292",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF012",7,5.55,1.45
"293",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF013",5,5.55,0.55
"294",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF014",7,5.55,1.45
"295",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF015",5,5.55,0.55
"296",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF016",6,5.55,0.45
"297",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF017",6,5.55,0.45
"298",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF018",7,5.55,1.45
"299",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF019",5,5.55,0.55
"300",1,23,"Female","Australian","No","NA","Trustworthiness","MF","MF020",4,5.55,1.55
"301",1,23,"Female","Australian","No","NA","Trustworthiness","MG","MG001",1,4.1,3.1
"302",1,23,"Female","Australian","No","NA","Trustworthiness","MG","MG002",4,4.1,0.0999999999999996
